"","movie","director","spectator","point","genre","release","limit"
"630","맘마미아!2","올 파커","2293884",9.08,"뮤지컬",2018-08-08,"12세 관람가"
"631","레디 플레이어 원","스티븐 스필버그","2254442",8.72,"액션, SF, 모험",2018-03-28,"12세 관람가"
"632","명당","박희곤","2086418",7.75,"드라마",2018-09-19,"12세 관람가"
"633","협상","이종석","1967149",8.16,"범죄",2018-09-19,"15세 관람가"
"634","마약왕","우민호","1864077",7.19,"범죄, 드라마",2018-12-19,"청소년 관람불가"
"635","쥬만지: 새로운 세계","제이크 캐스단","1711270",8.44,"액션, 모험",2018-01-03,"12세 관람가"
"636","PMC: 더 벙커","김병우","1671548",6.53,"액션",2018-12-26,"15세 관람가"
"637","창궐","김성훈","1599598",6.47,"액션",2018-10-25,"15세 관람가"
"638","성난황소","김민호","1593298",8.65,"범죄, 액션",2018-11-22,"15세 관람가"
"639","범블비","트래비스 나이트","1561643",8.75,"액션, 모험, SF",2018-12-25,"12세 관람가"
"640","도어락","이권","1561258",7.7,"스릴러",2018-12-05,"15세 관람가"
"641","리틀 포레스트","임순례","1506911",9.01,"드라마",2018-02-28,"전체 관람가"
"642","스윙키즈","강형철","1472932",8.93,"드라마",2018-12-19,"12세 관람가"
"643","골든슬럼버","노동석","1387564",6.27,"범죄, 드라마",2018-02-14,"15세 관람가"
"644","램페이지","브래드 페이튼","1385517",8.82,"액션, 모험",2018-04-12,"12세 관람가"
"645","궁합","홍창표","1340149",7.49,"코미디, 드라마",2018-02-28,"12세 관람가"
"646","오션스8","게리 로스","1335839",8.38,"액션, 범죄",2018-06-13,"12세 관람가"
"647","사라진 밤","이창희","1315735",7.94,"스릴러",2018-03-07,"15세 관람가"
"648","바람 바람 바람","이병헌","1194239",6.65,"코미디",2018-04-05,"청소년 관람불가"
"649","챔피언","김용완","1128784",7.46,"드라마",2018-05-01,"12세 관람가"
"650","퍼시픽 림: 업라이징","스티븐 S. 드나이트","1077240",7.96,"액션, 모험, SF",2018-03-21,"15세 관람가"
"651","몬스터 호텔 3","젠디 타타코브스키","1071436",8.69,"애니메이션, 코미디",2018-08-08,"전체 관람가"
"652","더 넌","코린 하디","1011580",7.37,"공포, 미스터리",2018-09-19,"15세 관람가"
"653","스카이스크래퍼","로슨 마샬 터버","1002858",8.66,"액션, 범죄, 드라마",2018-07-11,"12세 관람가"
"654","염력","연상호","990111",6.21,"코미디",2018-01-31,"15세 관람가"
"655","월요일이 사라졌다","토미 위르콜라","903195",8.5,"액션, 범죄, 모험",2018-02-22,"15세 관람가"
"656","인랑","김지운","899029",5.26,"SF, 액션",2018-07-25,"15세 관람가"
"657","극장판 헬로카봇 : 백악기 시대","최신규","879682",9.31,"애니메이션",2018-08-01,"전체 관람가"
"658","레슬러","김대웅","771159",6.44,"드라마, 코미디",2018-05-09,"15세 관람가"
"659","상류사회","변혁","768249",5.67,"드라마",2018-08-29,"청소년 관람불가"
"660","물괴","허종호","723951",6.44,"액션",2018-09-12,"15세 관람가"
"661","스파이더맨: 뉴 유니버스","밥 퍼시케티","723450",9.37,"애니메이션, 액션",2018-12-12,"12세 관람가"
"662","미쓰백","이지원","723010",9.25,"드라마",2018-10-11,"15세 관람가"
"663","신비아파트: 금빛 도깨비와 비밀의 동굴","김병갑","678091",8.81,"애니메이션, 판타지",2018-07-25,"전체 관람가"
"664","퍼스트맨","데이미언 셔젤","665984",7.86,"SF, 드라마",2018-10-18,"12세 관람가"
"665","인시디어스4: 라스트 키","애덤 로비텔","554535",7.32,"공포, 미스터리",2018-01-31,"15세 관람가"
"666","그린치","스콧 모지어","552970",8.5,"애니메이션, 코미디",2018-12-19,"전체 관람가"
"667","점박이 한반도의 공룡2 : 새로운 낙원","한상호","550145",9.16,"애니메이션",2018-12-25,"전체 관람가"
"668","그날, 바다","김지영","540631",9.82,"다큐멘터리",2018-04-12,"15세 관람가"
"669","툼레이더","로아 우타우","540412",7.58,"액션, 모험",2018-03-08,"12세 관람가"
"670","페르디난드","카를로스 살다나","535448",8.97,"애니메이션, 모험",2018-01-03,"전체 관람가"
"671","버닝","이창동","528435",7.82,"미스터리",2018-05-17,"청소년 관람불가"
"672","7년의 밤","추창민","528014",6,"스릴러, 드라마",2018-03-28,"15세 관람가"
"673","메가로돈","존 터틀타웁","527962",7.53,"액션, 공포, SF",2018-08-15,"12세 관람가"
"674","콰이어트 플레이스","존 크래신스키","526078",8.29,"서스펜스, 공포",2018-04-12,"15세 관람가"
"675","호두까기 인형과 4개의 왕국","라세 할스트롬","518312",8.18,"판타지, 드라마",2018-12-06,"전체 관람가"
"676","셰이프 오브 워터: 사랑의 모양","기예르모 델 토로","507412",8.68,"드라마, 판타지",2018-02-22,"청소년 관람불가"
"677","곰돌이 푸 다시 만나 행복해","마크 포스터","492202",8.94,"모험",2018-10-03,"전체 관람가"
"678","스타 이즈 본","브래들리 쿠퍼","491857",9.15,"드라마, 멜로/로맨스",2018-10-09,"15세 관람가"
"679","변산","이준익","490519",8.33,"드라마",2018-07-04,"15세 관람가"
"680","동네사람들","임진순","461693",7.13,"액션, 스릴러",2018-11-07,"15세 관람가"
"681","원더풀 고스트","조원희","450378",8,"코미디, 드라마, 범죄",2018-09-26,"12세 관람가"
"682","명탐정 코난 : 제로의 집행인","타치카와 유즈루","419998",9.25,"애니메이션, 미스터리",2018-08-08,"12세 관람가"
"683","흥부: 글로 세상을 바꾼 자","조근현","416348",6.9,"드라마",2018-02-14,"12세 관람가"
"684","피터 래빗","윌 글럭","388301",9.18,"애니메이션, 가족",2018-05-16,"전체 관람가"
"685","극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~","타카하시 와타루","353012",8.89,"애니메이션, 코미디",2018-12-19,"전체 관람가"
"686","패딩턴 2","폴 킹","339014",9.13,"코미디, 드라마",2018-02-08,"전체 관람가"
"687","허스토리","민규동","337062",9.54,"드라마",2018-06-27,"12세 관람가"
"688","미드나잇 선","스콧 스피어","326086",8.8,"멜로/로맨스",2018-06-21,"12세 관람가"
"689","덕구","방수인","316141",9.3,"드라마",2018-04-05,"전체 관람가"
"690","번 더 스테이지: 더 무비","박준수","315014",9.31,"다큐멘터리",2018-11-15,"전체 관람가"
"691","트루스 오어 데어","제프 와드로","310962",8.05,"공포, 스릴러",2018-05-22,"15세 관람가"
"692","커뮤터","자움 콜렛 세라","286064",8.78,"액션",2018-01-24,"15세 관람가"
"693","후드","오토 바서스트","284593",8.09,"모험",2018-11-28,"12세 관람가"
"694","바울","앤드류 하얏트","273339",9.49,"드라마",2018-10-31,"15세 관람가"
"695","모털 엔진","크리스찬 리버스","268921",7.2,"액션, 모험, SF",2018-12-05,"12세 관람가"
"696","나를 차버린 스파이","수잔나 포겔","264768",7.92,"액션, 코미디",2018-08-22,"15세 관람가"
"697","명탐정 코난 : 감벽의 관","야마모토 야스이치로","242603",8.59,"애니메이션, 액션",2018-02-14,"12세 관람가"
"698","아이 필 프리티","에비 콘","240297",9.02,"코미디",2018-06-06,"15세 관람가"
"699","시카리오: 데이 오브 솔다도","스테파노 솔리마","229542",8.87,"액션, 범죄, 드라마",2018-06-27,"15세 관람가"
"700","치즈인더트랩","김제영","229005",7.54,"멜로/로맨스, 스릴러",2018-03-14,"15세 관람가"
"701","극한직업","이병헌","16264864",9.2,"코미디",2019-01-23,"15세 관람가"
"702","어벤져스: 엔드게임","안소니 루소","13934587",9.5,"액션, SF",2019-04-24,"12세 관람가"
"703","알라딘","가이 리치","12518950",9.44,"모험, 가족, 판타지",2019-05-23,"전체 관람가"
"704","기생충","봉준호","10080931",9.07,"드라마",2019-05-30,"15세 관람가"
"705","엑시트","이상근","8362276",9.04,"액션, 코미디",2019-07-31,"12세 관람가"
"706","스파이더맨: 파 프롬 홈","존 왓츠","8020786",9.01,"액션, 모험, 코미디",2019-07-02,"12세 관람가"
"707","캡틴 마블","애너 보든","5801070",8.45,"액션, 모험, SF",2019-03-06,"12세 관람가"
"708","라이온 킹","존 파브로","4742374",8.68,"모험, 드라마, 가족",2019-07-17,"전체 관람가"
"709","봉오동 전투","원신연","4512358",9.16,"액션, 드라마",2019-08-07,"15세 관람가"
"710","토이 스토리 4","조시 쿨리","3396300",9.24,"애니메이션, 모험",2019-06-20,"전체 관람가"
"711","돈","박누리","3389038",8.39,"범죄",2019-03-20,"15세 관람가"
"712","악인전","이원태","3364360",8.58,"범죄, 액션",2019-05-15,"청소년 관람불가"
"713","분노의 질주: 홉스&쇼","데이빗 레이치","2969814",9.01,"액션",2019-08-14,"12세 관람가"
"714","말모이","엄유나","2866020",9.19,"드라마",2019-01-09,"12세 관람가"
"715","증인","이한","2534175",9.16,"드라마",2019-02-13,"12세 관람가"
"716","사바하","장재현","2398519",7.41,"미스터리, 스릴러",2019-02-20,"15세 관람가"
"717","알리타: 배틀 엔젤","로버트 로드리게즈","1952063",8.82,"액션, 모험",2019-02-05,"12세 관람가"
"718","내안의 그놈","강효진","1916930",8.76,"판타지, 코미디",2019-01-09,"15세 관람가"
"719","뺑반","한준희","1826714",7.16,"범죄, 액션",2019-01-30,"15세 관람가"
"720","주먹왕 랄프 2: 인터넷 속으로","필 존스턴","1758891",8.96,"애니메이션, 모험",2019-01-03,"전체 관람가"
"721","걸캅스","정다원","1628963",9.03,"코미디, 액션",2019-05-09,"15세 관람가"
"722","사자","김주환","1609434",8.06,"미스터리, 액션",2019-07-31,"15세 관람가"
"723","드래곤 길들이기 3","딘 데블로이스","1506965",9.26,"애니메이션, 모험",2019-01-30,"전체 관람가"
"724","나의 특별한 형제","육상효","1476240",9.15,"드라마, 코미디",2019-05-01,"12세 관람가"
"725","어스","조던 필","1475088",7.7,"스릴러, 공포",2019-03-27,"15세 관람가"
"726","생일","이종언","1197424",9.02,"드라마",2019-04-03,"전체 관람가"
"727","항거:유관순 이야기","조민호","1157887",9.39,"드라마",2019-02-27,"12세 관람가"
"728","마이펫의 이중생활2","크리스 리노드","1101336",9.11,"애니메이션, 모험",2019-07-31,"전체 관람가"
"729","롱 리브 더 킹: 목포 영웅","강윤성","1093774",8.61,"액션, 드라마",2019-06-19,"15세 관람가"
"730","존 윅 3: 파라벨룸","채드 스타헬스키","1004116",8.63,"액션, 범죄, 스릴러",2019-06-26,"청소년 관람불가"
"731","나랏말싸미","조철현","953979",6.84,"드라마",2019-07-24,"전체 관람가"
"732","엑스맨: 다크 피닉스","사이먼 킨버그","862633",7.53,"액션, 모험, SF",2019-06-05,"12세 관람가"
"733","맨 인 블랙: 인터내셔널","F. 게리 그레이","850986",6.55,"액션, 코미디, SF",2019-06-12,"12세 관람가"
"734","변신","김홍선","769639",8.39,"공포, 스릴러",2019-08-21,"15세 관람가"
"735","뽀로로 극장판 보물섬 대모험","김현호","766758",9.35,"애니메이션",2019-04-25,"전체 관람가"
